Neighbourhood,Break and Enter Commercial,Break and Enter Residential/Other,Mischief,Other Theft,Theft from Vehicle,Theft of Bicycle,Theft of Vehicle,Vehicle Collision or Pedestrian Struck (with Fatality),Vehicle Collision or Pedestrian Struck (with Injury),Grand Total,Lat-Long,X,Y
Arbutus Ridge,325,1672,934,337,1852,160,498,3,285,6066,"(49.25484525,-123.160674)",488319.964,5454695.008
Central Business District,9371,3505,16672,19244,48003,6907,4016,41,3188,110947,"(49.2857901,-123.115764)",491566.1638,5458706.223
Dunbar-Southlands,294,1847,1324,241,2899,240,629,3,269,7746,"(49.25062249,-123.1852799)",486561.3973,5454681.789
Fairview,3303,3834,3196,3269,11934,3394,2037,14,1180,32161,"(49.26736012,-123.1292449)",490561.1254,5456813.337
Grandview-Woodland,2082,4515,4970,2508,7342,1403,3111,9,1240,27180,"(49.27475329,-123.0673365)",495098.3049,5458046.768
Hastings-Sunrise,929,3199,2904,1379,5654,321,2452,18,1270,18126,"(49.27633928,-123.0427116)",496899.7762,5458151.929
Kensington-Cedar Cottage,1277,4136,3760,2961,7474,859,2919,11,1544,24941,"(49.24632019,-123.0740992)",494719.1472,5455099.663
Kerrisdale,326,1826,1049,265,2805,179,547,7,443,7447,"(49.23550641,-123.1556061)",488392.0172,5452821.073
Killarney,302,2130,1761,245,3990,163,1302,12,570,10475,"(49.22129651,-123.0385735)",497319.8795,5451989.922
Kitsilano,2092,4390,3692,1730,8912,2464,2366,13,1040,26699,"(49.26597507,-123.16554)",488285.7883,5457107.754
Marpole,1098,2527,1905,612,4151,232,1617,10,931,13083,"(49.21087024,-123.12959)",490529.5502,5450811.31
Mount Pleasant,2769,3278,4070,3698,9679,2746,2654,18,1624,30536,"(49.26277566,-123.1016082)",492765.0779,5456742.91
Musqueam,17,86,104,1,217,7,40,1,59,532,"(49.23292287,-123.202673)",485639.0352,5453043.099
Oakridge,332,2089,889,1176,2290,172,669,6,414,8037,"(49.22597502,-123.1166219)",491143.808,5452913.977
Renfrew-Collingwood,1197,4296,3886,4119,8420,419,3011,12,1401,26761,"(49.24482683,-123.0430743)",497198.4343,5454810.862
Riley Park,848,2706,1795,410,4269,621,1197,4,671,12521,"(49.24082278,-123.1016128)",492503.3974,5454978.044
Shaughnessy,129,1774,633,25,1769,139,371,7,579,5426,"(49.24652249,-123.1413935)",489874.6007,5454817.907
South Cambie,314,1109,606,759,1529,221,435,2,237,5212,"(49.24518588,-123.1219242)",491194.8738,5454991.488
Stanley Park,72,65,246,13,2868,214,74,6,217,3775,"(49.30441928,-123.144338)",490092.35,5460895.915
Strathcona,2168,2019,4556,994,7343,1015,1650,20,1154,20919,"(49.27650815,-123.0871548)",493296.7967,5458468.86
Sunset,1105,2578,3243,1401,5226,255,2275,17,1296,17396,"(49.21833823,-123.092094)",493273.6908,5451914.585
Victoria-Fraserview,386,2499,1761,483,3390,132,1372,10,786,10819,"(49.21859145,-123.0661391)",495260.6875,5452077.113
West End,2775,3480,5325,6033,16904,2985,2660,6,1184,41352,"(49.29006843,-123.1360318)",490377.1554,5459175.692
West Point Grey,331,1299,879,260,1971,372,450,4,305,5871,"(49.26096227,-123.2019571)",485434.8964,5456947.975
